nr,type,value,idvisit
2,url,https://hans.th-nuernberg.de/video-player?uuid=b78e63d6-6a71-4a9c-a59e-45ea8ce55f13&evalId=none&role=everybody,2816
2,url,https://hans.th-nuernberg.de/video-player?uuid=a59465a2-6ea8-46ad-8aed-495d0e41518a&evalId=none&role=everybody,2817
2,url,https://hans.th-nuernberg.de/video-player?uuid=d2d00b66-5ffa-40e0-9cff-e26824de54e2&evalId=none&role=everybody,2818
2,url,https://hans.th-nuernberg.de/video-player?uuid=52fdc278-060e-4477-986c-9eb4abda2472&evalId=none&role=everybody,2819
2,url,https://hans.th-nuernberg.de/video-player?uuid=6b1790e8-cf01-499e-baa8-b8f6f21e4cb2&evalId=none&role=everybody,2820
2,url,https://hans.th-nuernberg.de/video-player?uuid=a59465a2-6ea8-46ad-8aed-495d0e41518a&evalId=none&role=everybody,2821
2,url,NA,2822
2,url,https://hans.th-nuernberg.de/video-player?uuid=d2d00b66-5ffa-40e0-9cff-e26824de54e2&evalId=none&role=everybody,2823
2,url,https://hans.th-nuernberg.de/video-player?uuid=a59465a2-6ea8-46ad-8aed-495d0e41518a&evalId=none&role=everybody,2824
2,url,NA,2825
2,url,https://hans.th-nuernberg.de/video-player?uuid=52fdc278-060e-4477-986c-9eb4abda2472&evalId=none&role=everybody,2826
2,url,https://hans.th-nuernberg.de/video-player?uuid=bd2cd185-5297-48e6-9399-d41c36d16d95&evalId=none&role=everybody,2827
2,url,https://hans.th-nuernberg.de/video-player?uuid=94c834d7-95ac-4771-868d-e2711fde9f3f&evalId=none&role=everybody,2828
2,url,https://hans.th-nuernberg.de/video-player?uuid=d7d22fe8-b6b6-49d6-bdc7-c00979f9161a&evalId=none&role=everybody,2829
2,url,NA,2830
2,url,NA,2831
2,url,https://hans.th-nuernberg.de/video-player?uuid=d2d00b66-5ffa-40e0-9cff-e26824de54e2&evalId=none&role=everybody,2832
2,url,NA,2833
2,url,https://hans.th-nuernberg.de/?evalId=none&role=everybody,2834
2,url,https://hans.th-nuernberg.de/video-player?uuid=d2d00b66-5ffa-40e0-9cff-e26824de54e2&evalId=none&role=everybody,2835
2,url,https://hans.th-nuernberg.de/search-results?evalId=none&role=everybody,2836
2,url,https://hans.th-nuernberg.de/?evalId=none&role=everybody,2837
2,url,NA,2838
2,url,https://hans.th-nuernberg.de/video-player?uuid=28ea31c3-ba8e-4fb6-93cf-aab7894c0048&evalId=none&role=everybody,2839
2,url,NA,2840
2,url,NA,2841
2,url,https://hans.th-nuernberg.de/video-player?uuid=e92f5395-f02a-4566-94a0-d02ded54c18a&evalId=none&role=everybody,2842
2,url,NA,2843
2,url,NA,2844
